日期,报单编号,交易所,合约代码,买卖,开平,报单价格,报单数量,报单状态,成交均价,成交数量,撤单数量,剩余数量,报单时间,撤单时间,成交时间
20240820,135,CZCE,SR501,买,开仓,6195,12,全部成交,6195,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6199,12,全部成交,6199,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6203,12,全部成交,6203,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6207,12,全部成交,6207,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6211,12,全部成交,6211,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6215,12,全部成交,6215,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6219,12,全部成交,6219,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6223,12,全部成交,6223,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6227,12,全部成交,6227,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6231,12,全部成交,6231,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6235,12,全部成交,6235,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6239,12,全部成交,6239,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6243,12,全部成交,6243,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6247,12,全部成交,6247,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6251,12,全部成交,6251,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6255,12,全部成交,6255,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6259,12,全部成交,6259,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6263,12,全部成交,6263,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6267,12,全部成交,6267,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6271,12,全部成交,6271,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6275,12,全部成交,6275,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6279,12,全部成交,6279,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6283,12,全部成交,6283,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6287,12,全部成交,6287,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6291,12,全部成交,6291,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6295,12,全部成交,6295,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6299,12,全部成交,6299,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6303,12,全部成交,6303,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6307,12,全部成交,6307,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6311,12,全部成交,6311,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6315,12,全部成交,6315,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6319,12,全部成交,6319,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6323,12,全部成交,6323,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6327,12,全部成交,6327,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6331,12,全部成交,6331,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6335,12,全部成交,6335,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6339,12,全部成交,6339,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6343,12,全部成交,6343,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6347,12,全部成交,6347,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6351,12,全部成交,6351,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6355,12,全部成交,6355,12,0,0,14:55:00,,14:55:00
20240820,135,CZCE,SR501,买,开仓,6359,13,全部成交,6359,13,0,0,14:55:00,,14:55:00
